f;g;p;;;f1;g1;p1
0.3;0.3;0.0041087;;;0.3;0.3;0.0041128
0.3;0.35;0.0035812;;;0.3;0.35;0.0035853
0.3;0.4;0.0031855;;;0.3;0.4;0.0031896
0.3;0.45;0.0028778;;;0.3;0.45;0.0028819
0.3;0.5;0.0026316;;;0.3;0.5;0.0026357
0.3;0.55;0.0024302;;;0.3;0.55;0.0024343
0.3;0.6;0.0022623;;;0.3;0.6;0.0022664
0.3;0.65;0.0021203;;;0.3;0.65;0.0021244
0.3;0.7;0.0019985;;;0.3;0.7;0.0020026
0.3;0.75;0.001893;;;0.3;0.75;0.0018971
0.3;0.8;0.0018007;;;0.3;0.8;0.0018048
0.3;0.85;0.0017192;;;0.3;0.85;0.0017233
0.3;0.9;0.0016468;;;0.3;0.9;0.0016509
0.3;0.95;0.001582;;;0.3;0.95;0.0015861
0.3;1;0.0015237;;;0.3;1;0.0015278
0.35;0.05;0.026335;;;0.35;0.05;0.026339
0.35;0.1;0.01341;;;0.35;0.1;0.013415
0.35;0.15;0.0091018;;;0.35;0.15;0.0091066
0.35;0.2;0.0069477;;;0.35;0.2;0.0069524
0.35;0.25;0.0056552;;;0.35;0.25;0.00566
0.35;0.3;0.0047935;;;0.35;0.3;0.0047983
0.35;0.35;0.0041781;;;0.35;0.35;0.0041828
0.35;0.4;0.0037165;;;0.35;0.4;0.0037212
0.35;0.45;0.0033574;;;0.35;0.45;0.0033622
0.35;0.5;0.0030702;;;0.35;0.5;0.003075
0.35;0.55;0.0028352;;;0.35;0.55;0.00284
0.35;0.6;0.0026394;;;0.35;0.6;0.0026441
0.35;0.65;0.0024737;;;0.35;0.65;0.0024784
0.35;0.7;0.0023316;;;0.35;0.7;0.0023364
0.35;0.75;0.0022085;;;0.35;0.75;0.0022133
0.35;0.8;0.0021008;;;0.35;0.8;0.0021056
0.35;0.85;0.0020058;;;0.35;0.85;0.0020105
0.35;0.9;0.0019213;;;0.35;0.9;0.0019261
0.35;0.95;0.0018457;;;0.35;0.95;0.0018505
0.35;1;0.0017777;;;0.35;1;0.0017824
0.4;0.05;0.030097;;;0.4;0.05;0.030102
0.4;0.1;0.015326;;;0.4;0.1;0.015331
0.4;0.15;0.010402;;;0.4;0.15;0.010407
0.4;0.2;0.0079402;;;0.4;0.2;0.0079456
0.4;0.25;0.0064631;;;0.4;0.25;0.0064685
0.4;0.3;0.0054783;;;0.4;0.3;0.0054838
0.4;0.35;0.0047749;;;0.4;0.35;0.0047804
0.4;0.4;0.0042474;;;0.4;0.4;0.0042528
0.4;0.45;0.0038371;;;0.4;0.45;0.0038425
0.4;0.5;0.0035088;;;0.4;0.5;0.0035143
0.4;0.55;0.0032402;;;0.4;0.55;0.0032457
0.4;0.6;0.0030164;;;0.4;0.6;0.0030219
0.4;0.65;0.002827;;;0.4;0.65;0.0028325
0.4;0.7;0.0026647;;;0.4;0.7;0.0026702
0.4;0.75;0.002524;;;0.4;0.75;0.0025295
0.4;0.8;0.0024009;;;0.4;0.8;0.0024064
0.4;0.85;0.0022923;;;0.4;0.85;0.0022978
0.4;0.9;0.0021957;;;0.4;0.9;0.0022012
0.4;0.95;0.0021094;;;0.4;0.95;0.0021148
0.4;1;0.0020316;;;0.4;1;0.0020371
0.45;0.05;0.033859;;;0.45;0.05;0.033865
0.45;0.1;0.017241;;;0.45;0.1;0.017248
0.45;0.15;0.011702;;;0.45;0.15;0.011708
0.45;0.2;0.0089327;;;0.45;0.2;0.0089388
0.45;0.25;0.007271;;;0.45;0.25;0.0072771
0.45;0.3;0.0061631;;;0.45;0.3;0.0061692
0.45;0.35;0.0053718;;;0.45;0.35;0.0053779
0.45;0.4;0.0047783;;;0.45;0.4;0.0047844
0.45;0.45;0.0043167;;;0.45;0.45;0.0043228
0.45;0.5;0.0039474;;;0.45;0.5;0.0039535
0.45;0.55;0.0036453;;;0.45;0.55;0.0036514
0.45;0.6;0.0033935;;;0.45;0.6;0.0033996
0.45;0.65;0.0031804;;;0.45;0.65;0.0031866
0.45;0.7;0.0029978;;;0.45;0.7;0.0030039
0.45;0.75;0.0028395;;;0.45;0.75;0.0028457
0.45;0.8;0.002701;;;0.45;0.8;0.0027072
0.45;0.85;0.0025788;;;0.45;0.85;0.002585
0.45;0.9;0.0024702;;;0.45;0.9;0.0024764
0.45;0.95;0.002373;;;0.45;0.95;0.0023792
0.45;1;0.0022856;;;0.45;1;0.0022917
0.5;0.05;0.037621;;;0.5;0.05;0.037628
0.5;0.1;0.019157;;;0.5;0.1;0.019164
0.5;0.15;0.013003;;;0.5;0.15;0.013009
0.5;0.2;0.0099252;;;0.5;0.2;0.009932
0.5;0.25;0.0080788;;;0.5;0.25;0.0080857
0.5;0.3;0.0068479;;;0.5;0.3;0.0068547
0.5;0.35;0.0059687;;;0.5;0.35;0.0059755
0.5;0.4;0.0053092;;;0.5;0.4;0.005316
0.5;0.45;0.0047963;;;0.5;0.45;0.0048031
0.5;0.5;0.004386;;;0.5;0.5;0.0043928
0.5;0.55;0.0040503;;;0.5;0.55;0.0040571
0.5;0.6;0.0037705;;;0.5;0.6;0.0037773
0.5;0.65;0.0035338;;;0.5;0.65;0.0035406
0.5;0.7;0.0033309;;;0.5;0.7;0.0033377
0.5;0.75;0.003155;;;0.5;0.75;0.0031618
0.5;0.8;0.0030012;;;0.5;0.8;0.003008
0.5;0.85;0.0028654;;;0.5;0.85;0.0028722
0.5;0.9;0.0027447;;;0.5;0.9;0.0027515
0.5;0.95;0.0026367;;;0.5;0.95;0.0026435
0.5;1;0.0025395;;;0.5;1;0.0025463
0.55;0.05;0.041383;;;0.55;0.05;0.041391
0.55;0.1;0.021073;;;0.55;0.1;0.02108
0.55;0.15;0.014303;;;0.55;0.15;0.01431
0.55;0.2;0.010918;;;0.55;0.2;0.010925
0.55;0.25;0.0088867;;;0.55;0.25;0.0088942
0.55;0.3;0.0075327;;;0.55;0.3;0.0075402
